Time,parking_lot,Empty_spaces,Occupied_spaces
2024-07-05 22:42:13.339590,A,4,4
2024-07-05 22:42:13.520293,A,4,3
2024-07-05 22:42:13.705764,A,4,3
2024-07-05 22:42:13.885576,A,4,3
2024-07-05 22:42:14.061435,A,4,3
2024-07-05 22:42:14.234756,A,4,3
2024-07-05 22:42:14.420838,A,4,3
2024-07-05 22:42:14.610597,A,4,3
2024-07-05 22:42:14.780154,A,4,3
2024-07-05 22:42:14.949668,A,4,3
2024-07-05 22:42:15.125738,A,4,3
2024-07-05 22:42:15.307612,A,4,3
2024-07-05 22:42:15.481561,A,4,3
2024-07-05 22:42:15.657349,A,4,3
2024-07-05 22:42:15.835870,A,3,3
2024-07-05 22:42:16.004928,A,4,3
2024-07-05 22:42:16.182567,A,4,3
2024-07-05 22:42:16.363880,A,3,3
2024-07-05 22:42:16.541713,A,3,3
2024-07-05 22:42:16.724290,A,3,3
2024-07-05 22:42:16.901703,A,3,3
2024-07-05 22:42:17.074490,A,3,3
2024-07-05 22:42:17.243686,A,3,3
2024-07-05 22:42:17.422612,A,3,3
2024-07-05 22:42:17.600068,A,3,3
2024-07-05 22:42:17.792745,A,3,3
2024-07-05 22:42:17.967060,A,3,3
2024-07-05 22:42:18.138006,A,3,3
2024-07-05 22:42:18.307777,A,3,3
2024-07-05 22:42:18.480656,A,3,3
2024-07-05 22:42:18.652293,A,3,3
2024-07-05 22:42:18.840493,A,3,3
2024-07-05 22:42:19.007882,A,2,3
2024-07-05 22:42:19.180316,A,3,3
2024-07-05 22:42:19.352420,A,2,3
2024-07-05 22:42:19.525999,A,3,3
2024-07-05 22:42:19.710576,A,3,3
2024-07-05 22:42:19.893778,A,3,3
2024-07-05 22:42:20.072619,A,3,3
2024-07-05 22:42:20.257512,A,3,4
2024-07-05 22:42:20.455546,A,3,4
2024-07-05 22:42:20.624526,A,3,3
2024-07-05 22:42:20.797405,A,3,3
2024-07-05 22:42:20.990086,A,3,2
2024-07-05 22:42:21.170616,A,3,2
2024-07-05 22:42:21.342473,A,3,2
2024-07-05 22:42:21.523793,A,3,2
2024-07-05 22:42:21.699861,A,3,2
2024-07-05 22:42:21.892422,A,3,2
2024-07-05 22:42:22.073681,A,3,2
2024-07-05 22:42:22.253486,A,3,5
2024-07-05 22:42:22.432385,A,3,5
2024-07-05 22:42:22.604820,A,3,3
2024-07-05 22:42:22.776856,A,3,3
2024-07-05 22:42:22.947460,A,3,3
2024-07-05 22:42:23.139351,A,3,3
2024-07-05 22:42:23.318510,A,3,5
2024-07-05 22:42:23.491574,A,2,5
2024-07-05 22:42:23.662471,A,3,4
2024-07-05 22:42:23.847980,A,3,4
2024-07-05 22:42:24.037502,A,3,4
2024-07-05 22:42:24.219638,A,3,4
2024-07-05 22:42:24.390712,A,3,4
2024-07-05 22:42:24.570388,A,3,4
2024-07-05 22:42:24.752667,A,3,4
2024-07-05 22:42:24.921536,A,3,4
2024-07-05 22:42:25.089333,A,3,4
2024-07-05 22:42:25.268715,A,3,4
2024-07-05 22:42:25.455780,A,2,5
2024-07-05 22:42:25.633604,A,2,5
2024-07-05 22:42:25.805845,A,2,4
2024-07-05 22:42:25.977394,A,2,4
2024-07-05 22:42:26.151529,A,2,4
2024-07-05 22:42:26.324745,A,2,4
2024-07-05 22:42:26.492548,A,3,4
2024-07-05 22:42:26.676065,A,3,4
2024-07-05 22:42:26.854758,A,3,3
2024-07-05 22:42:27.035691,A,3,4
2024-07-05 22:42:27.206901,A,3,3
2024-07-05 22:42:27.385549,A,3,3
2024-07-05 22:42:27.577401,A,3,4
2024-07-05 22:42:27.751710,A,3,4
2024-07-05 22:42:27.920549,A,3,4
2024-07-05 22:42:28.094445,A,3,4
2024-07-05 22:42:28.265715,A,3,4
2024-07-05 22:42:28.436396,A,3,4
2024-07-05 22:42:28.614882,A,3,4
2024-07-05 22:42:28.787272,A,3,3
2024-07-05 22:42:28.967272,A,3,4
2024-07-05 22:42:29.141517,A,3,3
2024-07-05 22:42:29.315190,A,3,3
2024-07-05 22:42:29.487032,A,3,4
2024-07-05 22:42:29.666549,A,3,4
2024-07-05 22:42:29.850215,A,3,3
2024-07-05 22:42:30.040277,A,3,3
2024-07-05 22:42:30.216376,A,3,3
2024-07-05 22:42:30.392634,A,3,4
2024-07-05 22:42:30.564716,A,3,4
2024-07-05 22:42:30.742341,A,3,3
2024-07-05 22:42:30.923665,A,3,4
2024-07-05 22:42:31.102126,A,3,4
2024-07-05 22:42:31.275446,A,3,4
2024-07-05 22:42:31.448294,A,3,3
2024-07-05 22:42:31.620372,A,3,3
2024-07-05 22:42:31.791500,A,4,4
2024-07-05 22:42:31.981536,A,3,5
2024-07-05 22:42:32.156776,A,3,4
2024-07-05 22:42:32.326623,A,3,3
2024-07-05 22:42:32.499705,A,4,3
2024-07-05 22:42:32.663913,A,3,2
2024-07-05 22:42:32.847085,A,3,3
2024-07-05 22:42:33.031584,A,4,5
2024-07-05 22:42:33.211523,A,4,5
2024-07-05 22:42:33.389825,A,4,5
2024-07-05 22:42:33.561710,A,4,5
2024-07-05 22:42:33.746748,A,3,5
2024-07-05 22:42:33.920713,A,3,5
2024-07-05 22:42:34.124297,A,3,5
2024-07-05 22:42:34.303997,A,3,5
2024-07-05 22:42:34.471705,A,3,5
2024-07-05 22:42:34.644700,A,3,5
2024-07-05 22:42:34.813506,A,3,5
2024-07-05 22:42:34.990558,A,3,5
2024-07-05 22:42:35.181905,A,3,5
2024-07-05 22:42:35.361672,A,3,4
2024-07-05 22:42:35.564162,A,3,4
2024-07-05 22:42:35.747607,A,4,4
2024-07-05 22:42:35.920233,A,4,4
2024-07-05 22:42:36.097626,A,4,4
2024-07-05 22:42:36.297883,A,4,4
2024-07-05 22:42:36.469958,A,3,4
2024-07-05 22:42:36.637663,A,3,4
2024-07-05 22:42:36.805593,A,3,4
2024-07-05 22:42:36.977610,A,3,4
2024-07-05 22:42:37.149338,A,3,3
2024-07-05 22:42:37.317403,A,3,3
2024-07-05 22:42:37.496048,A,3,4
2024-07-05 22:42:37.679875,A,3,4
2024-07-05 22:42:37.852380,A,3,4
2024-07-05 22:42:38.029033,A,3,3
2024-07-05 22:42:38.200638,A,3,3
2024-07-05 22:42:38.373649,A,3,3
2024-07-05 22:42:38.560660,A,3,3
2024-07-05 22:42:38.740270,A,3,3
2024-07-05 22:42:38.920793,A,3,3
2024-07-05 22:42:39.102390,A,3,3
2024-07-05 22:42:39.277727,A,3,3
2024-07-05 22:42:39.449869,A,3,3
2024-07-05 22:42:39.617999,A,3,3
2024-07-05 22:42:39.786707,A,3,3
2024-07-05 22:42:39.958580,A,3,3
2024-07-05 22:42:40.130872,A,3,3
2024-07-05 22:42:40.302595,A,3,3
2024-07-05 22:42:40.474563,A,3,3
2024-07-05 22:42:40.653769,A,3,3
2024-07-05 22:42:40.828396,A,3,3
2024-07-05 22:42:40.995506,A,3,3
2024-07-05 22:42:41.175149,A,3,3
2024-07-05 22:42:41.354219,A,3,3
2024-07-05 22:42:41.531974,A,3,3
2024-07-05 22:42:41.704794,A,3,4
2024-07-05 22:42:41.875222,A,3,4
2024-07-05 22:42:42.078118,A,3,4
2024-07-05 22:42:42.250914,A,3,4
2024-07-05 22:42:42.424156,A,3,4
2024-07-05 22:42:42.615323,A,3,4
2024-07-05 22:42:42.797587,A,3,4
2024-07-05 22:42:42.979528,A,3,3
2024-07-05 22:42:43.149067,A,3,3
2024-07-05 22:42:43.323357,A,3,3
2024-07-05 22:42:43.489935,A,3,4
2024-07-05 22:42:43.664400,A,3,4
2024-07-05 22:42:43.828022,A,3,4
2024-07-05 22:42:44.000198,A,3,4
2024-07-05 22:42:44.174444,A,3,4
2024-07-05 22:42:44.346089,A,3,4
2024-07-05 22:42:44.528380,A,3,4
2024-07-05 22:42:44.696050,A,3,4
2024-07-05 22:42:44.870829,A,4,6
2024-07-05 22:42:45.054823,A,4,6
2024-07-05 22:42:45.234446,A,2,6
2024-07-05 22:42:45.417508,A,3,6
2024-07-05 22:42:45.587603,A,2,6
2024-07-05 22:42:45.761524,A,2,6
2024-07-05 22:42:45.931065,A,2,6
2024-07-05 22:42:46.100239,A,2,6
2024-07-05 22:42:46.274039,A,2,6
2024-07-05 22:42:46.446215,A,2,5
2024-07-05 22:42:46.619204,A,2,5
2024-07-05 22:42:46.788214,A,2,5
2024-07-05 22:42:46.960098,A,2,5
2024-07-05 22:42:47.156231,A,2,5
2024-07-05 22:42:47.340432,A,2,5
2024-07-05 22:42:47.528731,A,2,5
2024-07-05 22:42:47.722708,A,2,5
2024-07-05 22:42:47.918529,A,2,5
2024-07-05 22:42:48.124107,A,2,6
2024-07-05 22:42:48.300085,A,3,6
2024-07-05 22:42:48.480645,A,3,6
2024-07-05 22:42:48.662508,A,2,6
2024-07-05 22:42:48.840927,A,3,6
2024-07-05 22:42:49.014994,A,2,6
2024-07-05 22:42:49.196465,A,2,7
2024-07-05 22:42:49.386263,A,2,7
2024-07-05 22:42:49.564148,A,3,7
2024-07-05 22:42:49.739535,A,3,9
2024-07-05 22:42:49.912297,A,3,9
2024-07-05 22:42:50.084049,A,3,9
2024-07-05 22:42:50.251577,A,2,9
2024-07-05 22:42:50.429523,A,2,8
2024-07-05 22:42:50.618511,A,2,8
2024-07-05 22:42:50.798292,A,2,9
2024-07-05 22:42:50.969722,A,2,9
2024-07-05 22:42:51.154416,A,2,9
2024-07-05 22:42:51.336979,A,2,9
2024-07-05 22:42:51.513328,A,2,9
2024-07-05 22:42:51.691670,A,2,9
2024-07-05 22:42:51.874097,A,3,9
2024-07-05 22:42:52.057312,A,2,8
2024-07-05 22:42:52.256018,A,2,8
2024-07-05 22:42:52.435171,A,2,8
2024-07-05 22:42:52.606344,A,1,8
2024-07-05 22:42:52.782420,A,2,8
2024-07-05 22:42:52.964496,A,2,7
2024-07-05 22:42:53.138823,A,2,7
2024-07-05 22:42:53.380002,A,2,8
2024-07-05 22:42:53.565360,A,2,8
2024-07-05 22:42:53.745139,A,2,8
2024-07-05 22:42:53.929995,A,2,8
2024-07-05 22:42:54.111469,A,1,8
2024-07-05 22:42:54.298731,A,1,8
2024-07-05 22:42:54.492458,A,1,7
2024-07-05 22:42:54.684701,A,1,7
2024-07-05 22:42:54.863759,A,1,8
2024-07-05 22:42:55.062641,A,1,8
2024-07-05 22:42:55.234172,A,1,7
2024-07-05 22:42:55.453674,A,1,8
2024-07-05 22:42:55.698963,A,1,8
2024-07-05 22:42:55.916632,A,1,8
2024-07-05 22:42:56.111440,A,1,8
2024-07-05 22:42:56.300507,A,1,8
2024-07-05 22:42:56.503828,A,1,8
2024-07-05 22:42:56.683863,A,1,8
2024-07-05 22:42:56.875926,A,1,7
2024-07-05 22:42:57.052337,A,1,7
2024-07-05 22:42:57.238082,A,1,5
2024-07-05 22:42:57.429298,A,1,5
2024-07-05 22:42:57.641823,A,1,5
2024-07-05 22:42:57.883750,A,1,6
2024-07-05 22:42:58.070018,A,2,6
2024-07-05 22:42:58.279026,A,2,6
2024-07-05 22:42:58.485686,A,2,6
2024-07-05 22:42:58.674230,A,2,6
2024-07-05 22:42:58.871512,A,2,6
2024-07-05 22:42:59.063747,A,2,4
2024-07-05 22:42:59.257294,A,2,4
2024-07-05 22:42:59.477850,A,2,4
2024-07-05 22:42:59.701560,A,3,4
2024-07-05 22:42:59.920507,A,3,4
2024-07-05 22:43:00.144345,A,3,4
2024-07-05 22:43:00.359462,A,3,4
2024-07-05 22:43:00.632248,A,3,6
2024-07-05 22:43:00.876238,A,3,6
2024-07-05 22:43:01.080612,A,2,5
2024-07-05 22:43:01.295446,A,2,5
2024-07-05 22:43:01.500530,A,2,6
2024-07-05 22:43:01.688164,A,2,5
2024-07-05 22:43:01.869137,A,2,5
2024-07-05 22:43:02.060431,A,2,5
2024-07-05 22:43:02.244317,A,2,5
2024-07-05 22:43:02.416530,A,2,5
2024-07-05 22:43:02.618358,A,2,5
2024-07-05 22:43:02.814914,A,2,5
2024-07-05 22:43:02.994415,A,2,5
2024-07-05 22:43:03.178358,A,2,5
2024-07-05 22:43:03.366322,A,2,5
2024-07-05 22:43:03.554593,A,2,5
2024-07-05 22:43:03.738741,A,2,5
2024-07-05 22:43:03.922011,A,2,5
2024-07-05 22:43:04.098558,A,2,5
2024-07-05 22:43:04.313944,A,2,5
2024-07-05 22:43:04.510982,A,2,5
2024-07-05 22:43:04.688495,A,2,5
2024-07-05 22:43:04.883334,A,2,5
2024-07-05 22:43:05.075032,A,2,5
2024-07-05 22:43:05.264644,A,2,4
2024-07-05 22:43:05.450544,A,2,4
2024-07-05 22:43:05.632317,A,2,4
2024-07-05 22:43:05.816340,A,2,4
2024-07-05 22:43:06.010100,A,2,4
2024-07-05 22:43:06.202348,A,2,4
2024-07-05 22:43:06.376570,A,2,4
2024-07-05 22:43:06.570280,A,2,4
2024-07-05 22:43:06.745411,A,2,4
2024-07-05 22:43:07.017055,A,2,4
2024-07-05 22:43:07.214349,A,2,4
2024-07-05 22:43:07.411491,A,2,4
2024-07-05 22:43:07.631762,A,2,4
2024-07-05 22:43:07.859242,A,2,4
2024-07-05 22:43:08.066905,A,2,4
2024-07-05 22:43:08.268504,A,2,4
2024-07-05 22:43:08.455057,A,2,4
2024-07-05 22:43:08.626766,A,2,4
2024-07-05 22:43:08.821524,A,2,4
2024-07-05 22:43:09.017998,A,2,4
2024-07-05 22:43:09.193949,A,2,4
2024-07-05 22:43:09.380132,A,3,4
2024-07-05 22:43:09.571970,A,3,4
2024-07-05 22:43:09.760419,A,4,4
2024-07-05 22:43:09.938434,A,4,4
2024-07-05 22:43:10.117397,A,4,4
2024-07-05 22:43:10.283943,A,4,4
2024-07-05 22:43:10.473596,A,4,5
2024-07-05 22:43:10.648733,A,4,4
2024-07-05 22:43:10.813717,A,4,3
2024-07-05 22:43:10.983463,A,4,4
2024-07-05 22:43:11.151776,A,4,4
2024-07-05 22:43:11.323288,A,4,4
2024-07-05 22:43:11.508870,A,4,5
2024-07-05 22:43:11.684332,A,4,5
2024-07-05 22:43:11.856885,A,4,5
2024-07-05 22:43:12.034677,A,5,5
2024-07-05 22:43:12.213181,A,4,5
2024-07-05 22:43:12.390348,A,4,5
2024-07-05 22:43:12.564952,A,5,5
2024-07-05 22:43:12.754792,A,5,4
2024-07-05 22:43:12.968068,A,5,4
2024-07-05 22:43:13.167460,A,5,5
2024-07-05 22:43:13.387288,A,5,5
2024-07-05 22:43:13.582397,A,5,5
2024-07-05 22:43:13.803823,A,4,4
2024-07-05 22:43:14.003538,A,5,5
2024-07-05 22:43:14.197428,A,5,6
2024-07-05 22:43:14.396416,A,5,6
2024-07-05 22:43:14.605061,A,5,6
2024-07-05 22:43:14.780585,A,5,6
2024-07-05 22:43:14.985389,A,5,7
2024-07-05 22:43:15.188120,A,5,6
2024-07-05 22:43:15.375457,A,5,7
2024-07-05 22:43:15.571986,A,5,6
2024-07-05 22:43:15.761702,A,5,6
2024-07-05 22:43:15.973295,A,5,6
2024-07-05 22:43:16.175632,A,5,7
2024-07-05 22:43:16.378108,A,5,7
2024-07-05 22:43:16.594967,A,5,7
2024-07-05 22:43:16.808421,A,5,7
2024-07-05 22:43:16.983478,A,5,7
2024-07-05 22:43:17.173085,A,5,6
2024-07-05 22:43:17.357559,A,4,7
2024-07-05 22:43:17.540707,A,4,7
2024-07-05 22:43:17.731611,A,4,6
2024-07-05 22:43:17.945619,A,4,6
2024-07-05 22:43:18.144851,A,4,6
2024-07-05 22:43:18.348740,A,4,7
2024-07-05 22:43:18.535084,A,4,7
2024-07-05 22:43:18.726350,A,4,7
2024-07-05 22:43:18.918715,A,4,7
2024-07-05 22:43:19.099771,A,5,7
2024-07-05 22:43:19.289380,A,5,7
2024-07-05 22:43:19.474899,A,5,7
2024-07-05 22:43:19.661353,A,5,7
2024-07-05 22:43:19.845803,A,5,7
2024-07-05 22:43:20.022465,A,5,7
2024-07-05 22:43:20.200614,A,5,5
2024-07-05 22:43:20.395018,A,4,5
2024-07-05 22:43:20.576056,A,5,5
2024-07-05 22:43:20.762460,A,5,5
2024-07-05 22:43:20.944082,A,5,5
2024-07-05 22:43:21.113110,A,5,5
2024-07-05 22:43:21.290622,A,5,5
2024-07-05 22:43:21.470828,A,5,5
2024-07-05 22:43:21.643665,A,5,5
2024-07-05 22:43:21.822563,A,5,5
2024-07-05 22:43:22.004356,A,5,5
2024-07-05 22:43:22.184572,A,5,5
2024-07-05 22:43:22.354658,A,5,5
2024-07-05 22:43:22.531841,A,5,5
2024-07-05 22:43:22.725508,A,5,5
2024-07-05 22:43:22.897733,A,5,5
2024-07-05 22:43:23.072636,A,5,5
2024-07-05 22:43:23.245016,A,5,5
2024-07-05 22:43:23.430852,A,5,5
2024-07-05 22:43:23.604707,A,5,5
2024-07-05 22:43:23.783560,A,5,5
2024-07-05 22:43:23.959452,A,5,5
2024-07-05 22:43:24.133641,A,5,5
2024-07-05 22:43:24.308273,A,5,5
2024-07-05 22:43:24.482583,A,5,6
2024-07-05 22:43:24.655539,A,5,6
2024-07-05 22:43:24.841606,A,5,6
2024-07-05 22:43:25.020684,A,5,6
2024-07-05 22:43:25.191602,A,5,6
2024-07-05 22:43:25.381242,A,5,6
2024-07-05 22:43:25.552323,A,5,6
2024-07-05 22:43:25.725080,A,4,6
2024-07-05 22:43:25.907153,A,5,6
2024-07-05 22:43:26.081535,A,4,6
2024-07-05 22:43:26.251602,A,5,5
2024-07-05 22:43:26.424510,A,5,5
2024-07-05 22:43:26.609197,A,5,5
2024-07-05 22:43:26.793965,A,5,5
2024-07-05 22:43:26.978940,A,4,5
2024-07-05 22:43:27.155278,A,4,6
2024-07-05 22:43:27.328049,A,4,5
2024-07-05 22:43:27.498712,A,4,5
2024-07-05 22:43:27.673310,A,4,5
2024-07-05 22:43:27.856370,A,5,5
2024-07-05 22:43:28.025599,A,5,5
2024-07-05 22:43:28.193692,A,5,5
2024-07-05 22:43:28.366191,A,4,5
2024-07-05 22:43:28.546369,A,4,5
2024-07-05 22:43:28.726561,A,5,5
2024-07-05 22:43:28.910592,A,4,5
2024-07-05 22:43:29.087044,A,4,5
2024-07-05 22:43:29.271927,A,4,5
2024-07-05 22:43:29.453593,A,4,5
2024-07-05 22:43:29.621584,A,4,5
2024-07-05 22:43:29.800377,A,4,5
2024-07-05 22:43:29.979249,A,4,5
2024-07-05 22:43:30.150216,A,4,5
2024-07-05 22:43:30.320287,A,4,5
2024-07-05 22:43:30.493504,A,4,5
2024-07-05 22:43:30.662640,A,4,5
2024-07-05 22:43:30.837701,A,4,5
2024-07-05 22:43:31.065675,A,4,5
2024-07-05 22:43:31.287268,A,4,5
2024-07-05 22:43:31.465994,A,4,5
2024-07-05 22:43:31.662547,A,4,7
2024-07-05 22:43:31.838802,A,4,6
2024-07-05 22:43:32.034572,A,4,6
2024-07-05 22:43:32.211916,A,4,6
2024-07-05 22:43:32.383610,A,4,6
2024-07-05 22:43:32.555980,A,4,6
2024-07-05 22:43:32.730896,A,4,6
2024-07-05 22:43:32.919324,A,4,5
2024-07-05 22:43:33.100792,A,4,5
2024-07-05 22:43:33.275689,A,4,5
2024-07-05 22:43:33.463959,A,4,5
2024-07-05 22:43:33.651943,A,4,5
2024-07-05 22:43:33.835445,A,4,5
2024-07-05 22:43:34.018635,A,4,4
2024-07-05 22:43:34.188429,A,4,5
2024-07-05 22:43:34.360767,A,4,5
2024-07-05 22:43:34.550230,A,4,4
2024-07-05 22:43:34.732152,A,4,6
2024-07-05 22:43:34.903726,A,4,6
2024-07-05 22:43:35.076023,A,4,6
2024-07-05 22:43:35.260391,A,4,4
2024-07-05 22:43:35.432632,A,4,4
2024-07-05 22:43:35.615610,A,4,5
2024-07-05 22:43:35.799190,A,4,5
2024-07-05 22:43:35.975847,A,4,4
2024-07-05 22:43:36.143827,A,4,4
2024-07-05 22:43:36.318373,A,4,5
2024-07-05 22:43:36.506919,A,4,6
2024-07-05 22:43:36.692922,A,4,4
2024-07-05 22:43:36.866448,A,4,5
2024-07-05 22:43:37.046677,A,4,4
2024-07-05 22:43:37.227161,A,4,4
2024-07-05 22:43:37.407198,A,4,4
2024-07-05 22:43:37.583546,A,4,4
2024-07-05 22:43:37.765591,A,4,5
2024-07-05 22:43:37.965022,A,4,5
2024-07-05 22:43:38.138822,A,4,5
2024-07-05 22:43:38.324498,A,4,5
2024-07-05 22:43:38.495984,A,4,5
2024-07-05 22:43:38.666587,A,4,5
2024-07-05 22:43:38.838508,A,4,5
2024-07-05 22:43:39.010819,A,3,5
2024-07-05 22:43:39.183007,A,3,5
2024-07-05 22:43:39.352466,A,3,5
2024-07-05 22:43:39.541212,A,3,5
2024-07-05 22:43:39.725759,A,3,5
2024-07-05 22:43:39.893863,A,3,4
2024-07-05 22:43:40.074325,A,3,5
2024-07-05 22:43:40.261127,A,3,4
2024-07-05 22:43:40.457399,A,3,4
2024-07-05 22:43:40.643512,A,3,4
2024-07-05 22:43:40.812755,A,3,4
2024-07-05 22:43:40.997697,A,3,4
2024-07-05 22:43:41.173732,A,3,4
2024-07-05 22:43:41.360114,A,3,5
2024-07-05 22:43:41.548533,A,3,5
2024-07-05 22:43:41.726950,A,3,4
2024-07-05 22:43:41.901764,A,3,5
2024-07-05 22:43:42.072358,A,3,5
2024-07-05 22:43:42.250528,A,3,5
2024-07-05 22:43:42.435441,A,3,5
2024-07-05 22:43:42.617564,A,3,4
2024-07-05 22:43:42.800044,A,3,4
2024-07-05 22:43:42.982371,A,3,5
2024-07-05 22:43:43.164675,A,3,5
2024-07-05 22:43:43.346677,A,3,5
2024-07-05 22:43:43.520428,A,3,5
2024-07-05 22:43:43.701538,A,3,5
2024-07-05 22:43:43.886526,A,3,5
2024-07-05 22:43:44.067558,A,3,5
2024-07-05 22:43:44.253642,A,3,5
2024-07-05 22:43:44.429268,A,3,3
2024-07-05 22:43:44.625054,A,3,3
2024-07-05 22:43:44.793943,A,3,3
2024-07-05 22:43:44.968110,A,3,3
2024-07-05 22:43:45.154312,A,3,3
2024-07-05 22:43:45.325363,A,3,4
2024-07-05 22:43:45.499717,A,3,3
2024-07-05 22:43:45.671478,A,3,3
2024-07-05 22:43:45.861451,A,3,3
2024-07-05 22:43:46.044346,A,3,3
2024-07-05 22:43:46.235337,A,3,3
2024-07-05 22:43:46.417740,A,3,3
2024-07-05 22:43:46.604769,A,3,3
2024-07-05 22:43:46.785454,A,3,3
2024-07-05 22:43:46.959209,A,3,3
2024-07-05 22:43:47.132599,A,3,3
2024-07-05 22:43:47.305791,A,3,3
2024-07-05 22:43:47.481523,A,3,3
2024-07-05 22:43:47.668645,A,3,3
2024-07-05 22:43:47.852412,A,3,3
2024-07-05 22:43:48.036762,A,3,3
2024-07-05 22:43:48.218149,A,3,4
2024-07-05 22:43:48.386732,A,3,4
2024-07-05 22:43:48.579102,A,3,4
2024-07-05 22:43:48.769974,A,3,3
2024-07-05 22:43:48.997497,A,3,3
2024-07-05 22:43:49.205533,A,3,3
2024-07-05 22:43:49.385494,A,3,4
2024-07-05 22:43:49.567454,A,3,4
2024-07-05 22:43:49.748986,A,3,4
2024-07-05 22:43:49.954395,A,3,4
2024-07-05 22:43:50.148490,A,3,4
2024-07-05 22:43:50.322406,A,3,4
2024-07-05 22:43:50.503415,A,3,4
2024-07-05 22:43:50.705694,A,3,4
2024-07-05 22:43:50.898331,A,3,4
2024-07-05 22:43:51.098088,A,3,4
2024-07-05 22:43:51.286439,A,3,4
2024-07-05 22:43:51.495731,A,3,4
2024-07-05 22:43:51.672469,A,3,4
2024-07-05 22:43:51.859856,A,3,4
2024-07-05 22:43:52.085565,A,3,4
2024-07-05 22:43:52.285553,A,3,4
2024-07-05 22:43:52.492758,A,3,4
2024-07-05 22:43:52.669514,A,3,5
2024-07-05 22:43:52.871564,A,3,4
2024-07-05 22:43:53.053642,A,3,4
2024-07-05 22:43:53.287109,A,3,4
2024-07-05 22:43:53.495463,A,3,5
2024-07-05 22:43:53.671523,A,2,4
2024-07-05 22:43:53.856789,A,2,4
2024-07-05 22:43:54.041641,A,2,4
2024-07-05 22:43:54.222344,A,2,4
2024-07-05 22:43:54.403786,A,2,4
2024-07-05 22:43:54.595995,A,2,4
2024-07-05 22:43:54.839885,A,2,4
2024-07-05 22:43:55.014225,A,2,4
